programName,programDescription,workoutDay,workoutTitle,exerciseName,exerciseDetails
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",1,Foundation Strength & Finisher,Back Squats,3x8-10 at RPE 7
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",1,Foundation Strength & Finisher,Push-ups,3xAMRAP (As Many Reps As Possible)
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",1,Foundation Strength & Finisher,Barbell Rows,3x8-10 at RPE 7
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",1,Foundation Strength & Finisher,WOD Finisher: AMRAP 7 mins,10 Kettlebell Swings (light-mod) & 5 Burpees (scaled if needed)
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",2,Running: Speed Intro,Warm-up,10 min easy jog
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",2,Running: Speed Intro,400m Intervals,6-8 sets at 5k pace (RPE 8) with 200m walk/jog recovery
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",2,Running: Speed Intro,Cool-down,10 min easy jog
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",3,Rest Day,Full Rest,Complete rest. Focus on recovery.
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",4,Hyrox Skill Circuit: Intro,Warm-up,10 min dynamic & light cardio
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",4,Hyrox Skill Circuit: Intro,Circuit (3 Rounds),"15 Wall Balls (light), 25m Sled Push (light), 30m Farmer's Carry (light). Rest 90s between rounds."
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",4,Hyrox Skill Circuit: Intro,Cool-down,5 min stretching
Hyrox Fusion Prep,"This 12-week plan is designed for the busy athlete who needs maximum results from a manageable 3-4 day per week schedule. It’s built on a balanced blend of strength training, smart running workouts, and Hyrox-specific skill sessions, progressing from fundamentals to more complex, race-like workouts.",5,Rest Day,Full Rest,Complete rest. Focus on recovery.
